file,utterance_id,start_ms,end_ms,ref,mb,gl,ft
synthetic_texts_glossed.eaf,1,0,1727,iskul d̪ɔ nɔwaa,iskul d̪ɔ nɔwa-a,school TOP new-FIN,The school is new.
synthetic_bangla_glossed.eaf,2,1727,3910,uni d̪ɔ sikʰnɘt̪ paɽha͡o̯a,uni d̪ɔ sikʰnɘt̪ paɽha͡o̯-a,3SG.ANIM TOP lesson study-FIN,He/she will study the lesson.
synthetic_see_paradigm.eaf,3,3910,5136,unii̯ gɔc̚ʔɛd̪a,uni-i̯ gɔc̚ʔ-ɛ-d̪a,3SG.ANIM-3SG.ANIM die-PROG-FIN,He/she is dying.
synthetic_new_glossed.eaf,4,5136,7202,am d̪ɔ kat̪ʰa ɔlɔʔakada,am d̪ɔ kat̪ʰa ɔlɔʔ-akad-a,2SG TOP word write-PRF-FIN,You have written the word.
synthetic_texts_glossed.eaf,5,7202,8966,sikʰnɘt̪ d̪ɔ nɔwaa,sikʰnɘt̪ d̪ɔ nɔwa-a,lesson TOP new-FIN,The lesson is new.
synthetic_texts_glossed.eaf,6,8966,10703,bʰed͡ʒa d̪ɔ sapʰaa,bʰed͡ʒa d̪ɔ sapʰa-a,additional.assessment.on TOP clean-FIN,The additional assessment on rent is clean.
synthetic_texts_glossed.eaf,7,10703,12436,bilətɾɛ awad͡ʒ menaa,bilət-ɾɛ awad͡ʒ mena-a,england-LOC noise exist-FIN,There is a noise in the england.
synthetic_texts_glossed.eaf,8,12436,13994,at̪oɾɛ ʈaka menaa,at̪o-ɾɛ ʈaka mena-a,village-LOC money exist-FIN,There is a money in the village.
synthetic_texts_glossed.eaf,9,13994,15776,bʰāe d̪ɔ ɟɘɾuɽa,bʰāe d̪ɔ ɟɘɾuɽ-a,alarm TOP important-FIN,The alarm is important.
synthetic_new_glossed_3.eaf,10,15776,18254,mit̪ʔ basaŋ d̪ɔ iskulɾɛ menaa,mit̪ʔ basaŋ d̪ɔ iskul-ɾɛ mena-a,one cooked.food TOP school-LOC exist-FIN,One cooked food is in the school.
synthetic_paradigm_glossed.eaf,11,18254,20226,alɛaʔ mɔbaĭl pʰon d̪ɔ ɟɘɾuɽa,alɛ-aʔ mɔbaĭl pʰon d̪ɔ ɟɘɾuɽ-a,1PL.EXCL-GEN mobile.phone TOP important-FIN,Our mobile phone is important.
synthetic_imperatives_glossed.eaf,12,20226,22213,d̪a.ja kat̪ɛ kuɲɾɛ calaʔmɛ,d̪a.ja kat̪ɛ kuɲ-ɾɛ calaʔ-mɛ,please Manner well-LOC go-IMP.2SG.POL,Please go to the well.
