file,utterance_id,start_ms,end_ms,bangla,english,ipa_original,ipa_normalized,segments,glosses,notes
synthetic_texts_glossed.eaf,1,0,1727,[SYN.1] স্কুলটি নতুন।,The school is new.,iskul d̪ɔ nɔwaa.,iskul d̪ɔ nɔwa-a.,iskul | d̪ɔ | nɔwa-a,school | TOP | new-FIN,
synthetic_bangla_glossed.eaf,2,1727,3910,[SYN.2] সে পাঠ পড়বে।,He/she will study the lesson.,uni d̪ɔ sikʰnɘt̪ paɽha͡o̯a.,uni d̪ɔ sikʰnɘt̪ paɽha͡o̯-a.,uni | d̪ɔ | sikʰnɘt̪ | paɽha͡o̯-a,3SG.ANIM | TOP | lesson | study-FIN,Synthetic transitive finite clause with TOP and FIN labels.
synthetic_see_paradigm.eaf,3,3910,5136,[SYN.3] সে মারা যাচ্ছে।,He/she is dying.,unii̯ gɔc̚ʔɛd̪a.,uni-i̯ gɔc̚ʔ-ɛ-d̪a.,uni-i̯ | gɔc̚ʔ-ɛ-d̪a,3SG.ANIM-3SG.ANIM | die-PROG-FIN,
synthetic_new_glossed.eaf,4,5136,7202,[SYN.4] তুমি কথা লিখেছ।,You have written the word.,am d̪ɔ kat̪ʰa ɔlɔʔakada.,am d̪ɔ kat̪ʰa ɔlɔʔ-akad-a.,am | d̪ɔ | kat̪ʰa | ɔlɔʔ-akad-a,2SG | TOP | word | write-PRF-FIN,
synthetic_texts_glossed.eaf,5,7202,8966,[SYN.5] পাঠটি নতুন।,The lesson is new.,sikʰnɘt̪ d̪ɔ nɔwaa.,sikʰnɘt̪ d̪ɔ nɔwa-a.,sikʰnɘt̪ | d̪ɔ | nɔwa-a,lesson | TOP | new-FIN,Synthetic TOP + adjectival-FIN clause following layout A/B labels.
synthetic_texts_glossed.eaf,6,8966,10703,[SYN.6] অতিরিক্ত খাজনাটি পরিষ্কার।,The additional assessment on rent is clean.,bʰed͡ʒa d̪ɔ sapʰaa.,bʰed͡ʒa d̪ɔ sapʰa-a.,bʰed͡ʒa | d̪ɔ | sapʰa-a,additional.assessment.on | TOP | clean-FIN,Synthetic TOP + adjectival-FIN clause following layout A/B labels.
synthetic_texts_glossed.eaf,7,10703,12436,[SYN.7] ইংল্যান্ডে একটি শব্দ আছে।,There is a noise in the england.,bilətɾɛ awad͡ʒ menaa.,bilət-ɾɛ awad͡ʒ mena-a.,bilət-ɾɛ | awad͡ʒ | mena-a,england-LOC | noise | exist-FIN,Synthetic LOC + exist-FIN clause matching mena-a patterns.
synthetic_texts_glossed.eaf,8,12436,13994,[SYN.8] গ্রামে একটি টাকা আছে।,There is a money in the village.,at̪oɾɛ ʈaka menaa.,at̪o-ɾɛ ʈaka mena-a.,at̪o-ɾɛ | ʈaka | mena-a,village-LOC | money | exist-FIN,
synthetic_texts_glossed.eaf,9,13994,15776,[SYN.9] সতর্কবাণীটি গুরুত্বপূর্ণ।,The alarm is important.,bʰāe d̪ɔ ɟɘɾuɽa.,bʰāe d̪ɔ ɟɘɾuɽ-a.,bʰāe | d̪ɔ | ɟɘɾuɽ-a,alarm | TOP | important-FIN,
synthetic_new_glossed_3.eaf,10,15776,18254,[SYN.10] একটি রান্না স্কুলে আছে।,One cooked food is in the school.,mit̪ʔ basaŋ d̪ɔ iskulɾɛ menaa.,mit̪ʔ basaŋ d̪ɔ iskul-ɾɛ mena-a.,mit̪ʔ | basaŋ | d̪ɔ | iskul-ɾɛ | mena-a,one | cooked.food | TOP | school-LOC | exist-FIN,Synthetic classifier + LOC/exist clause.
