dataset_file,generated_id,generated_santali,generated_english,generated_bangla,best_gt_source,best_gt_id,best_gt_santali,best_gt_english,best_gt_bangla,combined_score,english_word_score,english_overlap_score,bangla_overlap_score,santali_overlap_score,content_word_overlap,content_jaccard,exact_santali_match,exact_english_match,exact_bangla_match,strict_reviewable,weak_auto_match
santali_synthetic_40k_sentences.csv,SYN-01170,ona dɔ tale dɔ ba-ŋ kan-a,That is not palmyra palm.,ওটা তাল গাছ নয়।,output_layoutA (1).csv,67,t̪ale,palmyra palm,,1.0000,1.0000,1.0000,0.0000,0.0000,2,1.0000,false,false,false,true,true
santali_synthetic_40k_sentences.csv,SYN-04633,iɲ dɔ bɔ-iɲ manwa janam kan-a,I am not human.,আমি মানবিক নয়।,output_layoutA (1).csv,80,iɲ-d̪o mit't'en hɔr kan-a,I am a human.,,1.0000,1.0000,1.0000,0.0000,0.4009,2,1.0000,false,false,false,true,true
santali_synthetic_40k_sentences.csv,SYN-07344,uni-aʔ mit't'e sakarkenda minaʔ,he/she have one sweet potato.,সে একটি মিষ্টি আলু আছে।,output_layoutA (1).csv,79,sɛkɛɾ kɛnd̪a,sweet potato,,1.0000,1.0000,1.0000,0.0000,0.0000,2,1.0000,false,false,false,true,true
santali_synthetic_40k_sentences.csv,SYN-10126,iɲ dɔ tale-to bɔ-iɲ gạ̃hjur-a,I do not bulge with palmyra palm.,আমি তাল গাছ ফুলে ওঠা না।,output_layoutA (1).csv,67,t̪ale,palmyra palm,,1.0000,1.0000,0.8165,0.0000,0.0000,2,0.6667,false,false,false,true,true
santali_synthetic_40k_sentences.csv,SYN-13617,ona dɔ sakarkenda kan-a,That is sweet potato.,ওটা মিষ্টি আলু।,output_layoutA (1).csv,79,sɛkɛɾ kɛnd̪a,sweet potato,,1.0000,1.0000,1.0000,0.0000,0.0000,2,1.0000,false,false,false,true,true
santali_synthetic_40k_sentences.csv,SYN-13971,abo dɔ pico̱po̱co̱ lebda kan-a,we do to dash down below par.,আমরা নিম্নমানের ছুড়ে ফেলা।,output_layoutA (1).csv,69,lat̪aɾ-ɾɛ,Below / Down,,1.0000,1.0000,0.7071,0.0000,0.0000,2,0.5000,false,false,false,true,true
santali_synthetic_40k_sentences.csv,SYN-24611,abo dɔ tạri ḍuṇḍuk kan-a,we do wave a firebrand down / below.,আমরা নিচে মশাল নাড়া।,output_layoutA (1).csv,69,lat̪aɾ-ɾɛ,Below / Down,,1.0000,1.0000,0.7071,0.0000,0.0000,2,0.5000,false,false,false,true,true
santali_synthetic_40k_sentences.csv,SYN-26892,abo dɔ sakarkenda-to ba-bon lese-a,we do not to beshrew with sweet potato.,আমরা মিষ্টি আলু অভিশাপ দেওয়া না।,output_layoutA (1).csv,79,sɛkɛɾ kɛnd̪a,sweet potato,,1.0000,1.0000,0.8165,0.0000,0.0000,2,0.6667,false,false,false,true,true
santali_synthetic_40k_sentences.csv,SYN-28491,uni dɔ tạri gaṅ kan-a,he/she does contuse down / below.,সে নিচে থেঁতলানো।,output_layoutA (1).csv,69,lat̪aɾ-ɾɛ,Below / Down,,1.0000,1.0000,0.8165,0.0000,0.0000,2,0.6667,false,false,false,true,true
santali_synthetic_40k_sentences.csv,SYN-36929,ona dɔ iɲ-aʔ sakarkenda kan-a,That is I's sweet potato.,ওটা আমি-এর মিষ্টি আলু।,output_layoutA (1).csv,79,sɛkɛɾ kɛnd̪a,sweet potato,,1.0000,1.0000,1.0000,0.0000,0.0000,2,1.0000,false,false,false,true,true
santali_synthetic_40k_sentences.csv,SYN-08790,nɔa dɔ lạhuc̕ kan-a,This is gait of tall person.,এটা লম্বা মানুষের হাঁটা।,output_layoutA (1).csv,126,uni hɔrd̪ɔ ædi osul,That person is very tall.,,0.9079,0.9079,0.6667,0.0000,0.0000,2,0.5000,false,false,false,true,true
santali_synthetic_40k_sentences.csv,SYN-18776,abo-aʔ mit't'e lạhuc̕ minaʔ,we have one gait of tall person.,আমরা একটি লম্বা মানুষের হাঁটা আছে।,output_layoutA (1).csv,126,uni hɔrd̪ɔ ædi osul,That person is very tall.,,0.9079,0.9079,0.6667,0.0000,0.0000,2,0.5000,false,false,false,true,true
santali_synthetic_40k_sentences.csv,SYN-20090,phukạr-re lạhuc̕ minaʔ,There is gait of tall person in/at aperture.,ছিদ্র-তে লম্বা মানুষের হাঁটা আছে।,output_layoutA (1).csv,126,uni hɔrd̪ɔ ædi osul,That person is very tall.,,0.9079,0.9079,0.5774,0.0000,0.0000,2,0.4000,false,false,false,true,true
santali_synthetic_40k_sentences.csv,SYN-35908,am dɔ tạri khạrid kan-a,you do to buy down / below.,তুমি নিচে কেনা।,output_layoutA (1).csv,69,lat̪aɾ-ɾɛ,Below / Down,,0.8983,0.8983,0.8165,0.0000,0.0000,2,0.6667,false,false,false,true,true
santali_synthetic_40k_sentences.csv,SYN-27777,pe̱ pea tale minaʔ,There are/is three palmyra palm.,তিন তাল গাছ আছে।,output_layoutA (1).csv,67,t̪ale,palmyra palm,,0.8399,0.8399,0.8165,0.0000,0.0000,2,0.6667,false,false,false,true,true
santali_synthetic_40k_sentences.csv,SYN-06057,iɲ dɔ leṭaṅ kan-a?,Do I to attend to many things?,আমি কি একাধিক কাজ সামলানো?,output_layoutA (1).csv,55,ɔɽaʔɾɛhɔ̃ a͡i̯ma kɘmi mena.a,There are many things to do at home.,,0.8358,0.8358,0.6667,0.0000,0.0000,2,0.5000,false,false,false,true,true
santali_synthetic_40k_sentences.csv,SYN-08432,iɲ dɔ leṭaṅ kan-a,I do to attend to many things.,আমি একাধিক কাজ সামলানো।,output_layoutA (1).csv,55,ɔɽaʔɾɛhɔ̃ a͡i̯ma kɘmi mena.a,There are many things to do at home.,,0.8358,0.8358,0.6667,0.0000,0.0000,2,0.5000,false,false,false,true,true
